;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_LAC_desc;We've had a good run, but it's time to end our rulership of Tzotzil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBA_title;Grant Luba Independence;;;;;;;;;;;;x,,
gtfo_LBA_desc;We've had a good run, but it's time to end our rulership of Luba: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBN_title;Grant Lebanon Independence;;;;;;;;;;;;x,,
gtfo_LBN_desc;We've had a good run, but it's time to end our rulership of Lebanon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNA_title;Grant Lan Na Independence;;;;;;;;;;;;x,,
gtfo_LNA_desc;We've had a good run, but it's time to end our rulership of Lan Na: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOM_title;Grant Lombardy Independence;;;;;;;;;;;;x,,
gtfo_LOM_desc;We've had a good run, but it's time to end our rulership of Lombardy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOT_title;Grant Lotharingia Independence;;;;;;;;;;;;x,,
gtfo_LOT_desc;We've had a good run, but it's time to end our rulership of Lotharingia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOU_title;Grant Louisiana Independence;;;;;;;;;;;;x,,
gtfo_LOU_desc;We've had a good run, but it's time to end our rulership of Louisiana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LSK_title;Grant Kita Kaigan Independence;;;;;;;;;;;;x,,
gtfo_LSK_desc;We've had a good run, but it's time to end our rulership of Kita Kaigan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUA_title;Grant Luang Prabang Independence;;;;;;;;;;;;x,,
gtfo_LUA_desc;We've had a good run, but it's time to end our rulership of Luang Prabang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUN_title;Grant Lunda Independence;;;;;;;;;;;;x,,
gtfo_LUN_desc;We've had a good run, but it's time to end our rulership of Lunda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUZ_title;Grant Lusatia Independence;;;;;;;;;;;;x,,
gtfo_LUZ_desc;We've had a good run, but it's time to end our rulership of Lusatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MBA_title;Grant Mombasa Independence;;;;;;;;;;;;x,,
gtfo_MBA_desc;We've had a good run, but it's time to end our rulership of Mombasa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MCA_title;Grant Muisca Independence;;;;;;;;;;;;x,,
gtfo_MCA_desc;We've had a good run, but it's time to end our rulership of Muisca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MCK_title;Grant Manchu Independence;;;;;;;;;;;;x,,
gtfo_MCK_desc;We've had a good run, but it's time to end our rulership of Manchu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MDI_title;Grant Mogadishu Independence;;;;;;;;;;;;x,,
gtfo_MDI_desc;We've had a good run, but it's time to end our rulership of Mogadishu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEW_title;Grant Mewar Independence;;;;;;;;;;;;x,,
gtfo_MEW_desc;We've had a good run, but it's time to end our rulership of Mewar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEX_title;Grant Mexico Independence;;;;;;;;;;;;x,,
gtfo_MEX_desc;We've had a good run, but it's time to end our rulership of Mexico: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MHC_title;Grant Mahican Independence;;;;;;;;;;;;x,,
gtfo_MHC_desc;We've had a good run, but it's time to end our rulership of Mahican: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MIX_title;Grant Mixtec Independence;;;;;;;;;;;;x,,
gtfo_MIX_desc;We've had a good run, but it's time to end our rulership of Mixtec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MJP_title;Grant Majapahit Independence;;;;;;;;;;;;x,,
gtfo_MJP_desc;We've had a good run, but it's time to end our rulership of Majapahit: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MKS_title;Grant Makassar Independence;;;;;;;;;;;;x,,
gtfo_MKS_desc;We've had a good run, but it's time to end our rulership of Makassar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MKU_title;Grant Makua Independence;;;;;;;;;;;;x,,
gtfo_MKU_desc;We've had a good run, but it's time to end our rulership of Makua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLC_title;Grant Malacca Independence;;;;;;;;;;;;x,,
gtfo_MLC_desc;We've had a good run, but it's time to end our rulership of Malacca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLW_title;Grant Maravi Independence;;;;;;;;;;;;x,,
gtfo_MLW_desc;We've had a good run, but it's time to end our rulership of Maravi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNI_title;Grant Mong Nai Independence;;;;;;;;;;;;x,,
gtfo_MNI_desc;We've had a good run, but it's time to end our rulership of Mong Nai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNX_title;Grant Ming Independence;;;;;;;;;;;;x,,
gtfo_MNX_desc;We've had a good run, but it's time to end our rulership of Ming: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOD_title;Grant Emilia Independence;;;;;;;;;;;;x,,
gtfo_MOD_desc;We've had a good run, but it's time to end our rulership of Emilia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MOR_title;Grant Maghreb Independence;;;;;;;;;;;;x,,
gtfo_MOR_desc;We've had a good run, but it's time to end our rulership of Maghreb: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MPC_title;Grant Mapuche Independence;;;;;;;;;;;;x,,
gtfo_MPC_desc;We've had a good run, but it's time to end our rulership of Mapuche: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MRT_title;Grant Marathas Independence;;;;;;;;;;;;x,,
gtfo_MRT_desc;We've had a good run, but it's time to end our rulership of Marathas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MSH_title;Grant Meshchyora Independence;;;;;;;;;;;;x,,
gtfo_MSH_desc;We've had a good run, but it's time to end our rulership of Meshchyora: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MTL_title;Grant Matlatzinca Independence;;;;;;;;;;;;x,,
gtfo_MTL_desc;We've had a good run, but it's time to end our rulership of Matlatzinca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MUS_title;Grant Muscovy Independence;;;;;;;;;;;;x,,
gtfo_MUS_desc;We've had a good run, but it's time to end our rulership of Muscovy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MYS_title;Grant Mysore Independence;;;;;;;;;;;;x,,
gtfo_MYS_desc;We've had a good run, but it's time to end our rulership of Mysore: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NAH_title;Grant Navajo Independence;;;;;;;;;;;;x,,
gtfo_NAH_desc;We've had a good run, but it's time to end our rulership of Navajo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NDO_title;Grant Ndongo Independence;;;;;;;;;;;;x,,
gtfo_NDO_desc;We've had a good run, but it's time to end our rulership of Ndongo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NET_title;Grant Netherlands Independence;;;;;;;;;;;;x,,
gtfo_NET_desc;We've had a good run, but it's time to end our rulership of Netherlands: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NEW_title;Grant Canada Independence;;;;;;;;;;;;x,,
gtfo_NEW_desc;We've had a good run, but it's time to end our rulership of Canada: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NHY_title;Grant Nehiyaw Independence;;;;;;;;;;;;x,,
gtfo_NHY_desc;We've had a good run, but it's time to end our rulership of Nehiyaw: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NKO_title;Grant Nkore Independence;;;;;;;;;;;;x,,
gtfo_NKO_desc;We've had a good run, but it's time to end our rulership of Nkore: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NOG_title;Grant Nogai Independence;;;;;;;;;;;;x,,
gtfo_NOG_desc;We've had a good run, but it's time to end our rulership of Nogai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NOR_title;Grant Norway Independence;;;;;;;;;;;;x,,
gtfo_NOR_desc;We've had a good run, but it's time to end our rulership of Norway: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NUP_title;Grant Nupe Independence;;;;;;;;;;;;x,,
gtfo_NUP_desc;We've had a good run, but it's time to end our rulership of Nupe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NVK_title;Grant Nivkh Independence;;;;;;;;;;;;x,,
gtfo_NVK_desc;We've had a good run, but it's time to end our rulership of Nivkh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZA_title;Grant Ngati Ranginui Independence;;;;;;;;;;;;x,,
gtfo_NZA_desc;We've had a good run, but it's time to end our rulership of Ngati Ranginui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZK_title;Grant Ngati Kahungunu Independence;;;;;;;;;;;;x,,
gtfo_NZK_desc;We've had a good run, but it's time to end our rulership of Ngati Kahungunu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZM_title;Grant Ngati Awa Independence;;;;;;;;;;;;x,,
gtfo_NZM_desc;We've had a good run, but it's time to end our rulership of Ngati Awa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZN_title;Grant Tainui Independence;;;;;;;;;;;;x,,
gtfo_NZN_desc;We've had a good run, but it's time to end our rulership of Tainui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZR_title;Grant Ngati Toa Independence;;;;;;;;;;;;x,,
gtfo_NZR_desc;We've had a good run, but it's time to end our rulership of Ngati Toa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZT_title;Grant Ngapuhi Independence;;;;;;;;;;;;x,,
gtfo_NZT_desc;We've had a good run, but it's time to end our rulership of Ngapuhi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OEO_title;Grant Oneota Independence;;;;;;;;;;;;x,,
gtfo_OEO_desc;We've had a good run, but it's time to end our rulership of Oneota: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OMA_title;Grant Oman Independence;;;;;;;;;;;;x,,
gtfo_OMA_desc;We've had a good run, but it's time to end our rulership of Oman: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OSA_title;Grant Osage Independence;;;;;;;;;;;;x,,
gtfo_OSA_desc;We've had a good run, but it's time to end our rulership of Osage: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OSH_title;Grant Osheaga Independence;;;;;;;;;;;;x,,
gtfo_OSH_desc;We've had a good run, but it's time to end our rulership of Osheaga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OTM_title;Grant Otomo Independence;;;;;;;;;;;;x,,
gtfo_OTM_desc;We've had a good run, but it's time to end our rulership of Otomo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_OYO_title;Grant Oyo Independence;;;;;;;;;;;;x,,
gtfo_OYO_desc;We've had a good run, but it's time to end our rulership of Oyo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAW_title;Grant Pawnee Independence;;;;;;;;;;;;x,,
gtfo_PAW_desc;We've had a good run, but it's time to end our rulership of Pawnee: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PCH_title;Grant Pecheneg Independence;;;;;;;;;;;;x,,
gtfo_PCH_desc;We've had a good run, but it's time to end our rulership of Pecheneg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PER_title;Grant Persia Independence;;;;;;;;;;;;x,,
gtfo_PER_desc;We've had a good run, but it's time to end our rulership of Persia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PEU_title;Grant Peru Independence;;;;;;;;;;;;x,,
gtfo_PEU_desc;We've had a good run, but it's time to end our rulership of Peru: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PGR_title;Grant Pagarruyung Independence;;;;;;;;;;;;x,,
gtfo_PGR_desc;We've had a good run, but it's time to end our rulership of Pagarruyung: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PIM_title;Grant Pima Independence;;;;;;;;;;;;x,,
gtfo_PIM_desc;We've had a good run, but it's time to end our rulership of Pima: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PLB_title;Grant Palembang Independence;;;;;;;;;;;;x,,
gtfo_PLB_desc;We've had a good run, but it's time to end our rulership of Palembang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PLT_title;Grant Polotsk Independence;;;;;;;;;;;;x,,
gtfo_PLT_desc;We've had a good run, but it's time to end our rulership of Polotsk: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PNJ_title;Grant Punjab Independence;;;;;;;;;;;;x,,
gtfo_PNJ_desc;We've had a good run, but it's time to end our rulership of Punjab: if you love something, let it go!;;;;;;;;;;;;x
gtfo_POL_title;Grant Poland Independence;;;;;;;;;;;;x,,
gtfo_POL_desc;We've had a good run, but it's time to end our rulership of Poland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_POM_title;Grant Pomerania Independence;;;;;;;;;;;;x,,
gtfo_POM_desc;We've had a good run, but it's time to end our rulership of Pomerania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_POT_title;Grant Potawatomi Independence;;;;;;;;;;;;x,,
gtfo_POT_desc;We've had a good run, but it's time to end our rulership of Potawatomi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRM_title;Grant Perm Independence;;;;;;;;;;;;x,,
gtfo_PRM_desc;We've had a good run, but it's time to end our rulership of Perm: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRO_title;Grant Provence Independence;;;;;;;;;;;;x,,
gtfo_PRO_desc;We've had a good run, but it's time to end our rulership of Provence: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRT_title;Grant Pruthenia Independence;;;;;;;;;;;;x,,
gtfo_PRT_desc;We've had a good run, but it's time to end our rulership of Pruthenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRU_title;Grant Prussia Independence;;;;;;;;;;;;x,,
gtfo_PRU_desc;We've had a good run, but it's time to end our rulership of Prussia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PSA_title;Grant Pasai Independence;;;;;;;;;;;;x,,
gtfo_PSA_desc;We've had a good run, but it's time to end our rulership of Pasai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QIC_title;Grant Qi Independence;;;;;;;;;;;;x,,
gtfo_QIC_desc;We've had a good run, but it's time to end our rulership of Qi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QTO_title;Grant Quito Independence;;;;;;;;;;;;x,,
gtfo_QTO_desc;We've had a good run, but it's time to end our rulership of Quito: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QUE_title;Grant Quebec Independence;;;;;;;;;;;;x,,
gtfo_QUE_desc;We've had a good run, but it's time to end our rulership of Quebec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RDL_title;Grant Ardalan Independence;;;;;;;;;;;;x,,
gtfo_RDL_desc;We've had a good run, but it's time to end our rulership of Ardalan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RUS_title;Grant Russia Independence;;;;;;;;;;;;x,,
gtfo_RUS_desc;We've had a good run, but it's time to end our rulership of Russia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RWA_title;Grant Rwanda Independence;;;;;;;;;;;;x,,
gtfo_RWA_desc;We've had a good run, but it's time to end our rulership of Rwanda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_RYA_title;Grant Ryazan Independence;;;;;;;;;;;;x,,
gtfo_RYA_desc;We've had a good run, but it's time to end our rulership of Ryazan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SCO_title;Grant Scotland Independence;;;;;;;;;;;;x,,
gtfo_SCO_desc;We've had a good run, but it's time to end our rulership of Scotland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SER_title;Grant Serbia Independence;;;;;;;;;;;;x,,
gtfo_SER_desc;We've had a good run, but it's time to end our rulership of Serbia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHS_title;Grant Shoshone Independence;;;;;;;;;;;;x,,
gtfo_SHS_desc;We've had a good run, but it's time to end our rulership of Shoshone: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SHY_title;Grant Uzbek Independence;;;;;;;;;;;;x,,
gtfo_SHY_desc;We've had a good run, but it's time to end our rulership of Uzbek: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIA_title;Grant Ayutthaya Independence;;;;;;;;;;;;x,,
gtfo_SIA_desc;We've had a good run, but it's time to end our rulership of Ayutthaya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIC_title;Grant Sicily Independence;;;;;;;;;;;;x,,
gtfo_SIC_desc;We've had a good run, but it's time to end our rulership of Sicily: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIN_title;Grant Sindh Independence;;;;;;;;;;;;x,,
gtfo_SIN_desc;We've had a good run, but it's time to end our rulership of Sindh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIO_title;Grant Sioux Independence;;;;;;;;;;;;x,,
gtfo_SIO_desc;We've had a good run, but it's time to end our rulership of Sioux: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SKA_title;Grant Sakalava Independence;;;;;;;;;;;;x,,
gtfo_SKA_desc;We've had a good run, but it's time to end our rulership of Sakalava: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLV_title;Grant Nitra Independence;;;;;;;;;;;;x,,
gtfo_SLV_desc;We've had a good run, but it's time to end our rulership of Nitra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMB_title;Grant Sambas Independence;;;;;;;;;;;;x,,
gtfo_SMB_desc;We've had a good run, but it's time to end our rulership of Sambas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SME_title;Grant Tao-Klarjeti Independence;;;;;;;;;;;;x,,
gtfo_SME_desc;We've had a good run, but it's time to end our rulership of Tao-Klarjeti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMI_title;Grant Sapmi Independence;;;;;;;;;;;;x,,
gtfo_SMI_desc;We've had a good run, but it's time to end our rulership of Sapmi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMO_title;Grant Samoa Independence;;;;;;;;;;;;x,,
gtfo_SMO_desc;We've had a good run, but it's time to end our rulership of Samoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SNZ_title;Grant Waitaha Independence;;;;;;;;;;;;x,,
gtfo_SNZ_desc;We've had a good run, but it's time to end our rulership of Waitaha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SOL_title;Grant Solon Independence;;;;;;;;;;;;x,,
gtfo_SOL_desc;We've had a good run, but it's time to end our rulership of Solon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SON_title;Grant Sonora Independence;;;;;;;;;;;;x,,
gtfo_SON_desc;We've had a good run, but it's time to end our rulership of Sonora: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SPA_title;Grant Hispania Independence;;;;;;;;;;;;x,,
gtfo_SPA_desc;We've had a good run, but it's time to end our rulership of Hispania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRI_title;Grant Lanka Independence;;;;;;;;;;;;x,,
gtfo_SRI_desc;We've had a good run, but it's time to end our rulership of Lanka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUD_title;Grant Nubia Independence;;;;;;;;;;;;x,,
gtfo_SUD_desc;We've had a good run, but it's time to end our rulership of Nubia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUL_title;Grant Sulu Independence;;;;;;;;;;;;x,,
gtfo_SUL_desc;We've had a good run, but it's time to end our rulership of Sulu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUN_title;Grant Sunda Independence;;;;;;;;;;;;x,,
gtfo_SUN_desc;We've had a good run, but it's time to end our rulership of Sunda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUS_title;Grant Susquehannock Independence;;;;;;;;;;;;x,,
gtfo_SUS_desc;We've had a good run, but it's time to end our rulership of Susquehannock: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SVY_title;Grant Savoy Independence;;;;;;;;;;;;x,,
gtfo_SVY_desc;We've had a good run, but it's time to end our rulership of Savoy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWA_title;Grant Kilwa Independence;;;;;;;;;;;;x,,
gtfo_SWA_desc;We've had a good run, but it's time to end our rulership of Kilwa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWE_title;Grant Sweden Independence;;;;;;;;;;;;x,,
gtfo_SWE_desc;We've had a good run, but it's time to end our rulership of Sweden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYC_title;Grant Sicily Independence;;;;;;;;;;;;x,,
gtfo_SYC_desc;We've had a good run, but it's time to end our rulership of Sicily: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYG_title;Grant Ganzhou Independence;;;;;;;;;;;;x,,
gtfo_SYG_desc;We've had a good run, but it's time to end our rulership of Ganzhou: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SYR_title;Grant Syria Independence;;;;;;;;;;;;x,,
gtfo_SYR_desc;We've had a good run, but it's time to end our rulership of Syria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TAB_title;Grant Mazandaran Independence;;;;;;;;;;;;x,,
gtfo_TAB_desc;We've had a good run, but it's time to end our rulership of Mazandaran: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TBZ_title;Grant Trapezous Independence;;;;;;;;;;;;x,,
gtfo_TBZ_desc;We've had a good run, but it's time to end our rulership of Trapezous: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TGA_title;Grant Tonga Independence;;;;;;;;;;;;x,,
gtfo_TGA_desc;We've had a good run, but it's time to end our rulership of Tonga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TID_title;Grant Tidore Independence;;;;;;;;;;;;x,,
gtfo_TID_desc;We've had a good run, but it's time to end our rulership of Tidore: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TIW_title;Grant Tiwi Independence;;;;;;;;;;;;x,,
gtfo_TIW_desc;We've had a good run, but it's time to end our rulership of Tiwi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TOK_title;Grant Tonkin Independence;;;;;;;;;;;;x,,
gtfo_TOK_desc;We've had a good run, but it's time to end our rulership of Tonkin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TPQ_title;Grant Tupiniquim Independence;;;;;;;;;;;;x,,
gtfo_TPQ_desc;We've had a good run, but it's time to end our rulership of Tupiniquim: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRS_title;Grant Tarascan Independence;;;;;;;;;;;;x,,
gtfo_TRS_desc;We've had a good run, but it's time to end our rulership of Tarascan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TRT_title;Grant Tirhut Independence;;;;;;;;;;;;x,,
gtfo_TRT_desc;We've had a good run, but it's time to end our rulership of Tirhut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TTE_title;Grant Ternate Independence;;;;;;;;;;;;x,,
gtfo_TTE_desc;We've had a good run, but it's time to end our rulership of Ternate: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUA_title;Grant Tapuia Independence;;;;;;;;;;;;x,,
gtfo_TUA_desc;We've had a good run, but it's time to end our rulership of Tapuia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUN_title;Grant Tunis Independence;;;;;;;;;;;;x,,
gtfo_TUN_desc;We've had a good run, but it's time to end our rulership of Tunis: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUS_title;Grant Tuscany Independence;;;;;;;;;;;;x,,
gtfo_TUS_desc;We've had a good run, but it's time to end our rulership of Tuscany: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UBH_title;Grant Buha Independence;;;;;;;;;;;;x,,
gtfo_UBH_desc;We've had a good run, but it's time to end our rulership of Buha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_URB_title;Grant Urbino Independence;;;;;;;;;;;;x,,
gtfo_URB_desc;We've had a good run, but it's time to end our rulership of Urbino: if you love something, let it go!;;;;;;;;;;;;x
gtfo_USA_title;Grant United States Independence;;;;;;;;;;;;x,,
gtfo_USA_desc;We've had a good run, but it's time to end our rulership of United States: if you love something, let it go!;;;;;;;;;;;;x
gtfo_UTS_title;Grant Tsang Independence;;;;;;;;;;;;x,,
gtfo_UTS_desc;We've had a good run, but it's time to end our rulership of Tsang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VRM_title;Grant New Norway Independence;;;;;;;;;;;;x,,
gtfo_VRM_desc;We've had a good run, but it's time to end our rulership of New Norway: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WAD_title;Grant Wadai Independence;;;;;;;;;;;;x,,
gtfo_WAD_desc;We've had a good run, but it's time to end our rulership of Wadai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WAL_title;Grant Muntenia Independence;;;;;;;;;;;;x,,
gtfo_WAL_desc;We've had a good run, but it's time to end our rulership of Muntenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WOL_title;Grant Djolof Independence;;;;;;;;;;;;x,,
gtfo_WOL_desc;We've had a good run, but it's time to end our rulership of Djolof: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X00_title;Grant Blemmyia Independence;;;;;;;;;;;;x,,
gtfo_X00_desc;We've had a good run, but it's time to end our rulership of Blemmyia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X01_title;Grant Cumania Independence;;;;;;;;;;;;x,,
gtfo_X01_desc;We've had a good run, but it's time to end our rulership of Cumania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X02_title;Grant Swiss Confederation Independence;;;;;;;;;;;;x,,
gtfo_X02_desc;We've had a good run, but it's time to end our rulership of Swiss Confederation: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X03_title;Grant Pyrenia Independence;;;;;;;;;;;;x,,
gtfo_X03_desc;We've had a good run, but it's time to end our rulership of Pyrenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X04_title;Grant Khazaria Independence;;;;;;;;;;;;x,,
gtfo_X04_desc;We've had a good run, but it's time to end our rulership of Khazaria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X05_title;Grant Karelia Independence;;;;;;;;;;;;x,,
gtfo_X05_desc;We've had a good run, but it's time to end our rulership of Karelia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X06_title;Grant Luristan Independence;;;;;;;;;;;;x,,
gtfo_X06_desc;We've had a good run, but it's time to end our rulership of Luristan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X07_title;Grant Spoleto Independence;;;;;;;;;;;;x,,
gtfo_X07_desc;We've had a good run, but it's time to end our rulership of Spoleto: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X08_title;Grant Thrace Independence;;;;;;;;;;;;x,,
gtfo_X08_desc;We've had a good run, but it's time to end our rulership of Thrace: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X09_title;Grant Bihar Independence;;;;;;;;;;;;x,,
gtfo_X09_desc;We've had a good run, but it's time to end our rulership of Bihar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X10_title;Grant Kosala Independence;;;;;;;;;;;;x,,
gtfo_X10_desc;We've had a good run, but it's time to end our rulership of Kosala: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X11_title;Grant Maharastra Independence;;;;;;;;;;;;x,,
gtfo_X11_desc;We've had a good run, but it's time to end our rulership of Maharastra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X12_title;Grant Polabia Independence;;;;;;;;;;;;x,,
gtfo_X12_desc;We've had a good run, but it's time to end our rulership of Polabia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X13_title;Grant Ifons Independence;;;;;;;;;;;;x,,
gtfo_X13_desc;We've had a good run, but it's time to end our rulership of Ifons: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X14_title;Grant Upplönd Independence;;;;;;;;;;;;x,,
gtfo_X14_desc;We've had a good run, but it's time to end our rulership of Upplönd: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X15_title;Grant Bugeac Independence;;;;;;;;;;;;x,,
